Sun Jul  5 22:11:38 2026    profile.prof

         5343471 function calls (5336900 primitive calls) in 66.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.030    0.010 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\ImageFile.py:672(_encode_tile)
        3    0.000    0.000    0.029    0.010 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:194(__init__)
       24    0.029    0.001    0.029    0.001 {method 'encode' of 'ImagingEncoder' objects}
      591    0.007    0.000    0.029    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\artist.py:1190(_update_props)
       12    0.000    0.000    0.029    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:534(__get__)
       72    0.001    0.000    0.029    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\font_manager.py:1293(findfont)
        1    0.008    0.008    0.029    0.029 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\frame.py:698(__init__)
       41    0.001    0.000    0.028    0.001 <frozen importlib._bootstrap>:921(_find_spec)
       99    0.004    0.000    0.026    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\lines.py:301(__init__)
       41    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1422(find_spec)
       30    0.021    0.001    0.025    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:185(draw_text)
       41    0.001    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1390(_get_spec)
       66    0.001    0.000    0.025    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:248(_prepare_font)
        2    0.006    0.003    0.025    0.013 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\font_manager.py:1453(_findfont_cached)
      378    0.001    0.000    0.024    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\artist.py:146(<lambda>)
       70    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
      498    0.001    0.000    0.024    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\artist.py:1228(_internal_update)
      228    0.001    0.000    0.024    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\markers.py:220(__init__)
      378    0.001    0.000    0.024    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\artist.py:1239(set)
        1    0.000    0.000    0.023    0.023 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\util\_decorators.py:325(wrapper)
        1    0.000    0.000    0.023    0.023 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\generic.py:3819(to_csv)
        1    0.000    0.000    0.023    0.023 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\io\formats\format.py:965(to_csv)
       87    0.001    0.000    0.023    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:104(__init__)
        3    0.000    0.000    0.023    0.008 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\__init__.py:1521(inner)
        9    0.000    0.000    0.023    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:367(__init__)
        3    0.001    0.000    0.023    0.008 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_axes.py:2374(bar)
       21    0.000    0.000    0.023    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1606(_copy_tick_props)
      159    0.022    0.000    0.022    0.000 {built-in method nt.stat}
      228    0.001    0.000    0.022    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\markers.py:299(_set_marker)
        1    0.000    0.000    0.022    0.022 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\backend_gtk4agg.py:1(<module>)
        3    0.000    0.000    0.022    0.007 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\Image.py:429(preinit)
        3    0.000    0.000    0.021    0.007 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2817(create_image)
        3    0.000    0.000    0.021    0.007 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2797(_create)
        3    0.000    0.000    0.021    0.007 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\load.py:24(load_works)
        6    0.000    0.000    0.021    0.004 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1115(set_clip_path)
       36    0.000    0.000    0.021    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\ticker.py:2228(__call__)
       21    0.000    0.000    0.020    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\collections\__init__.py:588(most_common)
      137    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       63    0.000    0.000    0.020    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\lines.py:1352(update_from)
      433    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
       36    0.000    0.000    0.019    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\ticker.py:2232(tick_values)
       28    0.019    0.001    0.019    0.001 {built-in method io.open_code}
        6    0.000    0.000    0.019    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:845(clear)
       24    0.000    0.000    0.019    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:946(set_tick_params)
        1    0.000    0.000    0.019    0.019 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\internals\construction.py:506(nested_data_to_arrays)
        1    0.000    0.000    0.018    0.018 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\internals\construction.py:793(to_arrays)
        1    0.001    0.001    0.018    0.018 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\internals\construction.py:891(_list_of_dict_to_arrays)
       36    0.002    0.000    0.018    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\ticker.py:2159(_raw_ticks)
        4    0.001    0.000    0.018    0.004 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\indexes\base.py:7659(ensure_index)
       66    0.000    0.000    0.017    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\font_manager.py:1363(_find_fonts_by_props)
       27    0.001    0.000    0.017    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\PIL\Image.py:3585(open)
       18    0.017    0.001    0.017    0.001 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\heapq.py:521(nlargest)
        9    0.000    0.000    0.017    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\spines.py:142(get_window_extent)
  3234/63    0.008    0.000    0.017    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\copy.py:128(deepcopy)
        6    0.000    0.000    0.017    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axes\_base.py:3318(grid)
        1    0.001    0.001    0.017    0.017 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\indexes\base.py:475(__new__)
       12    0.000    0.000    0.017    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1696(grid)
   189/63    0.001    0.000    0.016    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\copy.py:227(_deepcopy_dict)
       54    0.016    0.000    0.016    0.000 {built-in method io.open}
       39    0.000    0.000    0.016    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2589(__init__)
        6    0.000    0.000    0.016    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:761(_set_scale)
        6    0.000    0.000    0.016    0.003 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\scale.py:120(set_default_locators_and_formatters)
        1    0.002    0.002    0.015    0.015 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\analysis.py:31(files_frequencies)
        1    0.011    0.011    0.015    0.015 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:1(<module>)
       99    0.001    0.000    0.014    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\text.py:157(_reset_visual_defaults)
        4    0.000    0.000    0.014    0.004 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\construction.py:517(sanitize_array)
        6    0.000    0.000    0.014    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\ticker.py:452(__init__)
       27    0.001    0.000    0.014    0.001 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1527(get_minorticklocs)
        6    0.000    0.000    0.014    0.002 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\ticker.py:575(set_useMathText)
        1    0.000    0.000    0.013    0.013 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\io\formats\csvs.py:246(save)
        1    0.004    0.004    0.013    0.013 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\pandas\core\dtypes\cast.py:123(maybe_convert_platform)
        3    0.002    0.001    0.013    0.004 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\data_analysis\analysis.py:9(frequencies)
     6420    0.006    0.000    0.013    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\__init__.py:781(__getitem__)
1659/1527    0.001    0.000    0.013    0.000 {built-in method builtins.next}
       27    0.000    0.000    0.012    0.000 C:\Users\Admin\PycharmProjects\PythonProject4test\.venv\lib\site-packages\matplotlib\axis.py:1523(get_majorticklocs)
